"Error","Query","Table","Variable","PID","Info"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-center","close_d=216-01-01&type=date"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-center","close_d=216-01-01&type=date"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-center","close_d=x&type=date"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-center","close_d=x&type=date"
"Missing Value","Missing Value","tblCENTER","region","zz-center",""
"Missing Value","Missing Value","tblCENTER","program","br-ufmg",""
"Missing Value","Missing Value","tblCENTER","program","br-unifesp",""
"Missing Value","Missing Value","tblCENTER","program","cl-fa",""
"Missing Value","Missing Value","tblCENTER","program","hn-he",""
"Missing Value","Missing Value","tblCENTER","program","hn-ss",""
"Missing Value","Missing Value","tblCENTER","program","ht-gheskio",""
"Missing Value","Missing Value","tblCENTER","program","mx-incmnsz",""
"Missing Value","Missing Value","tblCENTER","program","pe-hnch",""
"Missing Value","Missing Value","tblCENTER","program","pe-imtavh",""
"Missing Value","Missing Value","tblCENTER","rural","40",""
"Missing Value","Missing Value","tblCENTER","rural","60",""
"Missing Value","Missing Value","tblCENTER","rural","1",""
"Missing Value","Missing Value","tblCENTER","rural","10",""
"Missing Value","Missing Value","tblCENTER","rural","100",""
"Missing Value","Missing Value","tblCENTER","rural","101",""
"Missing Value","Missing Value","tblCENTER","rural","102",""
"Missing Value","Missing Value","tblCENTER","rural","103",""
"Missing Value","Missing Value","tblCENTER","rural","104",""
"Missing Value","Missing Value","tblCENTER","rural","105",""
"Missing Value","Missing Value","tblCENTER","rural","106",""
"Missing Value","Missing Value","tblCENTER","rural","107",""
"Missing Value","Missing Value","tblCENTER","rural","108",""
"Missing Value","Missing Value","tblCENTER","rural","109",""
"Missing Value","Missing Value","tblCENTER","rural","11",""
"Missing Value","Missing Value","tblCENTER","rural","110",""
"Missing Value","Missing Value","tblCENTER","rural","111",""
"Missing Value","Missing Value","tblCENTER","rural","112",""
"Missing Value","Missing Value","tblCENTER","rural","113",""
"Missing Value","Missing Value","tblCENTER","rural","114",""
"Missing Value","Missing Value","tblCENTER","rural","115",""
"Missing Value","Missing Value","tblCENTER","rural","116",""
"Missing Value","Missing Value","tblCENTER","rural","118",""
"Missing Value","Missing Value","tblCENTER","rural","119",""
"Missing Value","Missing Value","tblCENTER","rural","12",""
"Missing Value","Missing Value","tblCENTER","rural","120",""
"Missing Value","Missing Value","tblCENTER","rural","121",""
"Missing Value","Missing Value","tblCENTER","rural","122",""
"Missing Value","Missing Value","tblCENTER","rural","123",""
"Missing Value","Missing Value","tblCENTER","rural","124",""
"Missing Value","Missing Value","tblCENTER","rural","125",""
"Missing Value","Missing Value","tblCENTER","rural","126",""
"Missing Value","Missing Value","tblCENTER","rural","127",""
"Missing Value","Missing Value","tblCENTER","rural","128",""
"Missing Value","Missing Value","tblCENTER","rural","129",""
"Missing Value","Missing Value","tblCENTER","rural","13",""
"Missing Value","Missing Value","tblCENTER","rural","131",""
"Missing Value","Missing Value","tblCENTER","rural","132",""
"Missing Value","Missing Value","tblCENTER","rural","133",""
"Missing Value","Missing Value","tblCENTER","rural","134",""
"Missing Value","Missing Value","tblCENTER","rural","135",""
"Missing Value","Missing Value","tblCENTER","rural","136",""
"Missing Value","Missing Value","tblCENTER","rural","137",""
"Missing Value","Missing Value","tblCENTER","rural","138",""
"Missing Value","Missing Value","tblCENTER","rural","139",""
"Missing Value","Missing Value","tblCENTER","rural","14",""
"Missing Value","Missing Value","tblCENTER","rural","140",""
"Missing Value","Missing Value","tblCENTER","rural","141",""
"Missing Value","Missing Value","tblCENTER","rural","142",""
"Missing Value","Missing Value","tblCENTER","rural","143",""
"Missing Value","Missing Value","tblCENTER","rural","144",""
"Missing Value","Missing Value","tblCENTER","rural","145",""
"Missing Value","Missing Value","tblCENTER","rural","146",""
"Missing Value","Missing Value","tblCENTER","rural","147",""
"Missing Value","Missing Value","tblCENTER","rural","148",""
"Missing Value","Missing Value","tblCENTER","rural","15",""
"Missing Value","Missing Value","tblCENTER","rural","150",""
"Missing Value","Missing Value","tblCENTER","rural","151",""
"Missing Value","Missing Value","tblCENTER","rural","153",""
"Missing Value","Missing Value","tblCENTER","rural","154",""
"Missing Value","Missing Value","tblCENTER","rural","155",""
"Missing Value","Missing Value","tblCENTER","rural","156",""
"Missing Value","Missing Value","tblCENTER","rural","157",""
"Missing Value","Missing Value","tblCENTER","rural","158",""
"Missing Value","Missing Value","tblCENTER","rural","159",""
"Missing Value","Missing Value","tblCENTER","rural","16",""
"Missing Value","Missing Value","tblCENTER","rural","160",""
"Missing Value","Missing Value","tblCENTER","rural","161",""
"Missing Value","Missing Value","tblCENTER","rural","162",""
